text,label,pred_id,pred_label
جناب آقای جهرمی ماهایی که از کیفییت پایین مخابرات مجبوریم از اینترنت گوشی استفاده کنیم(تاکید می کنم اینترنت بی کیفیت مخابرات) پس چی؟ قدیمیا قشنگ میگفتند خرج که از کیسه میهمان بوَد حاتم طائی شدن آسان بوَد. خواهشاً پاسخ این کامنت را بدهید و این یکی را حذف نفرمائید,0,0,neg
هیچی توی جهان اندازه‌ی دیدن منظره‌ی از لب بوسیدن بچه‌ها نمیتونه خشمگینم کنه. به بیگ بنگ قسم کار کولی نیست.,0,0,neg
"@azarijahromi dame shoma garm ba in vaziate internet =))
100gb internet nemikhaim ma daste shoma dard nakone ye lotfi kon pahnaye bande maro bargardoon be halate qabl ke too server haye EU pinge 80 migereftim na alan ke pinge 200 migirim ba 20% PACKET LOSS !!!!!",0,0,neg
اینترنت شهر راسک ضعیفه,0,0,neg
کاش یکی دلش واس مردم میسوخت همه شهرارو قرنطینه می‌کرد شهرما پر پلاک مسافر شده همه اومدن شهرستان,0,0,neg
اینترنت مخابرات طی یک ماه اخیر هرروز بی کیفیت تر از دیروز الکی هی ثبت شکایت تو نت سنج پلاس چه فایده ای داره گرونترین اینترنت مخابراتو داریم یک چهارم سرعتی که داریم پول میدیم رو دریافت میکنیم تو همه سایت ها و برنامه ها و همه بخش های اینترنت مشکل داریم این چه وضعیه واقعا,0,0,neg
نمیتونم توضیح بدم چه بغضی یهو گلومو پر کرده. هیچوقت از ته دل و به این شدت انتقامجو نبودم. امیدوارم کسی که اون دختر عزیزو پرت کرد و دلیل اصلی این اتفاق، یه روز سقوطیو تجربه کنن که با کاردک هم اثرشون از زمین پاک نشه. البته حیف زمین واسه خون نجسشون.,0,0,neg
در این وانفسای شیوع بیماری واسترس ناشی از اون واقعا ندادن حقوق وعیدی وحق  کارکنان شریف مخابرات چیزی جز مال مردم خوری ونامردی نیست بیاییم همه باهم هوای کادر کارگری زیر مجموعه خود را نداشته باشیم من واقعا نمی دونم چه کلماتی رو باید استفاده کنم تا  این عزیزان که نوکرهای بنده هستن رو بیشتر وبیشتر ازار بدم فقط از لذت ازار آنها بگویم کم گفتیم,0,0,neg
آقای جهرمی میشه دوباره اینترنت رایگان بدین؟ آخه آدم تو خونس حوصلش سر میره الان هی باید اینترنت خرید همچنین سرعت اینترنت هم بعضی ساعات روز واقعا کم میشه و غیر قابل تحمله  ممنون از پیگیری و زحماتتون,0,0,neg
از نت رایگان برای موبایل که خبری نشد...مکالمه رایگان هم که ندادین.تلویزیون هم که جز یکساعت پایتخت سرگرمی دیگه ای برای مردم نداره.بعد از ملت هم توقع دارین بشینن خونه...کرونا هم که شیوع پیدا کرده میندازین گردن ملت.....عجب بابا,0,0,neg
آقای وزیر ترو به همین امام رضا پینگ های وب رو درست کنین ..ما گیمرا چه گناهی کردیم به فکرمون نیستین .حداقل تو این قرنطینه به فکر پینگ ما باشید.@azarijahromi,0,0,neg
دعای من موقع تحویل سال انشاالله درمان و داروی بهبودی کرونا حتی واکسن ان را ما ایرانیها پیداکنیم.آنوقت ...........,2,0,neg
جهرمی بابا پیجو شات کن بلکه خیری ازت به ما برسه,0,0,neg
وزیر جوان این دو ماه با همه شرایط سخت و مشکلاتش اشک تو صورتمون نیاورد که این اهنگ قرنطینه و تنهایی رو واسمون یاداوری کرد و اشکمون دراورد,1,0,neg
بی زحمت یه فکریم به اینترنت ایرانسل و همراه اول بکنید خیلی ضعیف شده,0,0,neg
یعنی توف به اینترنت ای دی اس ال مخابرات که با ذغال کارمیکنه👎,0,0,neg
من گفتم نمی‌خونن نگفتم کم و زیاد کردن‌ش یا فارسی بودن‌ش تاثیر داره، حالا اشکال کاربر یا هر چیزی نیت شما مهمه، از نظر من قرار هست شما با علم به عدم مطالعه اکثریت کاربران از اطلاعات‌شون سواستفاده کنید. زمانی می‌تونید حسن نیت ‌تون رو ثابت کنید که چنین دسترسی نخواید کلا,0,0,neg
دُکی جون adsl مخابرات چرا فعال نشد.استان کرمان؟,0,0,neg
سلام آقای دکتر لطفا فکری بحال اینترنت همراه رباط کریم کن خیلی خیلی افتضاحه بابا بخدا ماهم آدمیم پول اینترنت میدیم یکم از اون سرعت  اینترنت خونگیا کم کن,0,0,neg
جناب مهندس چهارساعت کلاس انلاین ۶ روز در هفته  برای بچه هایه ابتدایی با این اوضاع بیکاری ؟؟؟؟؟چقد هزینه ی اینترنت بکنیم اخه😔😔😔,0,0,neg
حالا یکی از همشهریات مازراتی سوار شد تو رو سننه..حالا بیا هی بگو این مال شهرماست #کسخل,0,0,neg
@ahmadkhomeini نظر من به شخصه در مورد شمااینه که با شما هیچ مشکلی نداریم سایه پدر بالای سرتون باشه ،ما با آن انسان هایی کار داریم که سیاست را نیاموخته و وارد سیاست شدند ،مشکل ما باکسانی است که فقط به فکر شکم خود هستند ،مشکل ما با کسانی است که بی دلیل مردم این خاک مقدس را زجر میدهند ،همانهایی که روزی به آنها اعتماد کردیم و به جای بهتر کردن وضع مملکت ما را وادار به دست و پنجه نرم کردن با گرانی کرد,0,0,neg
طبق اسناد عبده موسس باشگاه #لنگ فروشنده هروئین هم بوده و شب آخر زنده بودن تختی اون تو اتاقش بوده که تختی اوردوز کرده #لنگ #ننگ #,0,0,neg
سلام آقای جهرمی یه مسابقه تو شبکه ۵ هست که ما هروقت شرکت میکنیم پیام میاد که اینترنت رو چک کنین ،در صورتی که اینترنت فورجی داریم که راحت اینستا رو باز میکنه و روان کار میکنه پس چرا انقد اذیت میکنن حداقل نزارن بهتر از اینه که رو اعصاب راه برن تو این شرایط خراب کرونایی😠😠😠,0,0,neg
سرعت نت خوب ریده بیارین منم یکم بریم  شاید به سرعتش اثر کرد اقای جهرمی به سرعت نت یکم الکل بده بره فضااونم باسرعت نور☄🚀😂😂😂💪🇦🇿🇹🇷@azarijahromi,0,0,neg
آقای وزیر ی بازی میتونستیم تو قرنطینه بکنیم ب لطف ریدن شما اونم قطع شد,0,0,neg
سلام دکتر ما اینترنت نامحدود مخابرات روداریم باسرعت افتضاح چه طوری می تونیم ازاین صدگیگ استفاده کنیم؟؟؟,0,0,neg
با سلام،من یه شهروند بابلیم، مازندران اینترنت رایگان به ما که ندادن هیچ،یه بار طرح خریدیم تاریخ طرحمون گذشت نیومدن اینترنت رو وصل کننالانم مجدد طرح گرفتیم  و۳ بار  مخابرات مراجعه کردم و اپراتورهای همراه اولم جوابگو نیست..,0,0,neg
همیشه اونا که میگن 2+2 میشه 5 با افتخار میگن من درست میگم . ولی اونا که درستشو بلدن هیچ وقت انقدر ادعاشون نمیشه و نمیگن . اگه خوشت اومد لایک کن . #عقل #عاقل #ادعا #دانش #دانشمند #ریاضی #هوش #مغز #دلار,2,0,neg
اقای جهرمی لطفا جواب بدین الان تو قرنطینه‌ایم چرا اینترنت از ساعت ۲تا۷ صبح شدیدا ضعیف میشه ولی از ساعت ۷ بگذره سرعت نت زیاد میشه,1,0,neg
آقای جهرمی لطفا یه فکری به حال اینترنت گوشی ها بکنید تو قرنطینه مصرف ما که بچه کوچیک داریم و باید سرگرمشون کنیم زیاد شد حداقل هزینه اینترنت گوشی اپراتورها نصف کنند الحمدالله امسال خسیس تر شدن و بسته عیدانه محدود دادن همراه اول که شارژ رایگان فقط داد حالا که ما مجبوریم تو ماه دوبار نت بخریم حداقل نصف قیمت بخریم,0,0,neg
@bi_gharar_yar آمین,1,2,pos
پس داری چیکار میکنید اقای جهرمی به خدا موهای سرم سفید شد از بس سر سرعت اینترنت حرص خوردم خدارو خوش نمیاد ، قرنطینه ایم دلمون فقط به نت خوشه اینو دیگه از ما نگیرید,0,0,neg
این صد گیگه مخابرات گیلان ک فعال نشده سرعتمونم ب شدنتت اومد پاییین . میشع هیچ کاری نکنین کلاا فقط بذارین ب حال خودمون باشیمم,0,0,neg
"سلام جناب آقای جهرمی عزیز : روستای زول واقع در خراسان جنوبی ۱۴ کیلومتری شهرستان قاین، متاسفانه اینترنت همراه اول و ایرانسل خیلیییی سرعتش افتضحاهه و موقعی که وصل میشود سرعتش از ( E ) بیشتر نیست....
لطفا یه دستور بدهید تا پیگیری شود تا در این مدت کرونا دانش آموران از درس عقب نیفتن",0,0,neg
گلزار یکی ازهنرپیشه!های مهوعه.گفته قصه ابد و یک روزنمیتونه واقعیت داشته باشه این آدم علاوه بر تودهنی،بایدبره جنوب شهرببینه واقعیت رو #عصبانی,0,0,neg
"""برای گرامی داشتن خاطره میلوس فرمن، کانال آرتی، تلویزون فرانسه ـ آلمان امشب فیلم بیاد ماندنی """"پرواز روی آشیانه فاخته"""" را نشان میدهد. ساعت ۲۱. آنهایی که در فرانه یا آلمان هستید آنرا از دست ندهید. https://www. programme-tv.net/cinema/1970669 -vol-au-dessus-d-un-nid-de-coucou/ …""",1,1,med
سلام دکتر جهرمی عزیز، سرعت مبین نت از دیشب افتضاح شده و مدام قطعی داره لطفا دستور بدید بررسی کنند 🙏,0,0,neg
بذار اینطوری بگم ادمای بزرگ ارزو نمیکنن میرن دنبالش منطورم ی چیزی تو همین مایه ها بودش,1,0,neg
اینترنت رایگان بدین ملت بشینن خونه. هزینه های اینطوری هم کمتر هست نسبت به هزینه درمانی و پزشکی. دست به دست هم دهیم کرونا را بیرون کنیم,1,0,neg
صرف هزینه دادن و زندان رفتن باعث مشروعیت نمیشه ، ولی کسی که دارای مشروعیته حتما یک هزینه ای داده بابت آرمان و عقیده ش. امیدوارم اون روز پشت سر ترامپ و بقیه کساشیر نباشید و واسش دست و هورا نزنید .,0,0,neg
مهندس کرمانشاه سرعت افتضاح شده.ماکه مشترک قبل مخابرات بودیم.۰الان دیگه نمیتونیم وصل بشیم زیرساختها افتضاحه برادر فکری به حال ما بکن.  @azarijahromi,0,0,neg
دیگه تمیز بازی رو میندازم دور. به دخترم میگم بره هرچی دوس داره خاک بازی کنه. میوه نشسته بخوره. دستاشونشوره. میگم مامان هرچی دستت آشغال میاد بنداز کف خونه. با کفش میرم رو فرشا.,0,0,neg
"""کدام خبر گزاری رو دنبال میکنی شما؟ مرکل که خودش به ترکیه تانک میفروشه از جنایت های اردوغان شاکی شده و صداش در اومده",0,0,neg
"""همین الان یه داستان کوتاه میخوندم از پروین محسنی آزاد، یه نفرین خیلی جالب پیدا کردم توش :)) """"آی اسمت غروب بکند نصیرخان!"""";;;;""""1002316149282037760""",2,2,pos
جناب جهرمی اینترنت ایرانسل افتضاحه.لطفا رسیدگی کنید.اگه نکنید ما میریم بیرون 😂,0,0,neg
